"xexist2"  "yexist2"  "xexist2"  "ynode"  "c#1"  "c#2"  "c#3"  "c#4"  "cannot-link"
"156"  16.5195476886925  4.70042118543384  16.5195476886925  4.92610064401848  0  0  0  1  0
"157"  18.5397497088945  5.14797100547599  18.5397497088945  4.76043020730736  0  0  1  0  0
"158"  19.044800213945  5.85382848976897  19.044800213945  5.84781724329824  0  0  0  1  0
"159"  26.6205577897026  6.05315345967177  26.6205577897026  5.91284962952125  0  0  0  1  0
"160"  33.6912648604096  5.13156735001982  33.6912648604096  4.68970525394112  1  0  0  0  0
"161"  34.1963153654601  0.0372454898455731  34.1963153654601  6.18117619139475  0  1  0  0  0
"162"  36.2165173856622  0.231800758958318  36.2165173856622  0.00327948758237878  0  0  1  0  0
"163"  37.2266183957632  4.47877718885028  37.2266183957632  4.87757251881593  0  0  0  1  0
"164"  41.2670224361672  5.21627957339595  41.2670224361672  5.08702535916317  1  0  0  0  0
"165"  46.8225779917228  4.65852117158187  46.8225779917228  4.35419556560641  1  0  0  0  0
"166"  47.3276284967733  5.11755931708451  47.3276284967733  5.24266210389744  1  0  0  0  1
"167"  5.40843657758134  6.22193565878971  5.40843657758134  0.00943193917022445  1  0  0  0  0
"168"  14.4993456684904  5.45220257550964  14.4993456684904  5.45226532662774  1  0  0  0  0
"169"  16.5195476886925  4.70042118543384  16.5195476886925  5.01384819016417  1  0  0  0  0
"170"  28.1357093048541  1.00550374715564  28.1357093048541  1.06228107750391  0  1  0  0  0
"171"  37.7316689008137  0.0412993610626532  37.7316689008137  0.0441740011120661  0  0  0  1  0
"172"  40.7619719311167  4.38377384862807  40.7619719311167  3.97961235067751  0  0  0  1  0
"173"  46.3175274866723  5.90746964127485  46.3175274866723  6.16572489831325  0  0  0  1  0
"174"  47.3276284967733  5.11755931708451  47.3276284967733  5.18320547328751  0  0  0  1  0
"175"  49.3478305169753  5.41142442383206  49.3478305169753  5.66907874591051  0  0  0  1  1
"176"  0.862982032126794  0.318393023774945  0.862982032126794  0.651759117000722  0  0  1  0  0
"177"  10.9639921331369  5.37848938785589  10.9639921331369  5.39401879318154  1  0  0  0  0
"178"  16.5195476886925  4.70042118543384  16.5195476886925  4.37267380646987  1  0  0  0  0
"179"  20.5599517290965  0.312878690152317  20.5599517290965  0.0696108750578758  1  0  0  0  0
"180"  24.6003557695005  0.875966076415632  24.6003557695005  0.690693341337744  0  0  1  0  0
"181"  38.7417699109147  6.14745268086364  38.7417699109147  5.92519645416571  0  1  0  0  0
"182"  39.2468204159652  1.17340238334381  39.2468204159652  1.06505707733103  0  1  0  0  0
"183"  47.8326790018238  0.769383408119694  47.8326790018238  0.467527703139723  0  1  0  0  1
"184"  6.92358809273285  5.35400672768249  6.92358809273285  5.51175242824486  1  0  0  0  1
"185"  33.6912648604096  5.13156735001982  33.6912648604096  4.64515329933644  0  0  0  1  0
"186"  35.7114668806116  6.14714389448967  35.7114668806116  5.89252597783674  0  0  0  1  0
"187"  43.2872244563692  0.274651309262125  43.2872244563692  0.170183204366921  1  0  0  0  0
"188"  50.3579315270763  5.63386415026046  50.3579315270763  5.13801573670365  1  0  0  0  1
"189"  5.91348708263185  1.79149088064052  5.91348708263185  1.98840099746204  0  1  0  0  0
"190"  9.44884061798538  0.495878918340055  9.44884061798538  0.553008646715058  1  0  0  0  0
"191"  17.5296486987935  0.592268614113743  17.5296486987935  0.661845743205811  0  0  1  0  0
"192"  22.075103244248  5.26901374690444  22.075103244248  5.74390538854734  0  0  1  0  0
"193"  23.5902547593995  1.17524254007639  23.5902547593995  1.30416444840283  0  0  1  0  0
"194"  24.6003557695005  0.875966076415632  24.6003557695005  0.69726258996189  0  0  1  0  0
"195"  25.6104567796015  5.46101197379612  25.6104567796015  5.60356498312176  0  0  1  0  0
"196"  27.6306587998036  5.80215579711222  27.6306587998036  6.09435558526166  1  0  0  0  0
"197"  35.7114668806116  6.14714389448967  35.7114668806116  5.80398527896945  1  0  0  0  0
"198"  37.2266183957632  4.47877718885028  37.2266183957632  4.13249002634146  0  0  0  1  0
"199"  42.7821739513187  0.995691059368073  42.7821739513187  0.638655318158089  0  1  0  0  0
"200"  45.8124769816217  1.47842494386062  45.8124769816217  1.08527124847099  1  0  0  0  1
"201"  4.90338607253083  5.45894364537997  4.90338607253083  5.16412049592799  1  0  0  0  0
"202"  5.40843657758134  6.22193565878971  5.40843657758134  5.76560097427992  1  0  0  0  0
"203"  9.95389112303589  0.370129135105639  9.95389112303589  0.69189098979707  0  0  1  0  0
"204"  20.054901224046  5.18180041166108  20.054901224046  5.39587191736411  1  0  0  0  0
"205"  22.075103244248  5.26901374690444  22.075103244248  5.08126147373788  0  1  0  0  0
"206"  24.6003557695005  0.875966076415632  24.6003557695005  0.648463865185756  0  1  0  0  0
"207"  25.105406274551  6.25882269931788  25.105406274551  5.95366723510267  0  1  0  0  0
"208"  28.6407598099046  4.36514459621217  28.6407598099046  4.79233873939197  0  0  1  0  0
"209"  30.1559113250561  0.20356485866557  30.1559113250561  6.19082520264842  0  0  0  1  0
"210"  36.7215678907127  5.68421187999485  36.7215678907127  5.53676142429759  0  0  1  0  0
"211"  39.7518709210157  6.08129946142816  39.7518709210157  5.80605560169005  0  0  1  0  0
"212"  44.2973254664702  5.90543044698975  44.2973254664702  5.78354084552816  0  1  0  0  0
"213"  49.3478305169753  5.41142442383206  49.3478305169753  5.2336052644845  0  1  0  0  1
"214"  2.88318405232881  1.97687447402028  2.88318405232881  1.76228014850391  0  0  1  0  0
"215"  4.39833556748033  0.553607119553209  4.39833556748033  0.270213463882403  0  1  0  0  0
"216"  5.40843657758134  6.22193565878971  5.40843657758134  5.9184819919332  0  0  1  0  0
"217"  8.94379011293488  4.96053622254963  8.94379011293488  5.26149960711459  0  1  0  0  0
"218"  15.5094466785914  0.639292866517274  15.5094466785914  0.720900169168084  0  0  1  0  0
"219"  31.1660123351571  1.01964950065085  31.1660123351571  0.752488875919515  0  0  1  0  0
"220"  36.2165173856622  0.231800758958318  36.2165173856622  0.556287137305819  0  0  1  0  0
"221"  41.7720729412177  6.13459080702228  41.7720729412177  0.243979522133927  0  0  0  1  0
"222"  48.8427800119248  5.49361685843927  48.8427800119248  5.52465027332095  1  0  0  0  0
"223"  49.8528810220258  5.53145812032183  49.8528810220258  5.75357494921794  0  1  0  0  1
"224"  15.0043961735409  3.15872440184186  15.0043961735409  3.64868929842207  0  1  0  0  0
"225"  26.6205577897026  6.05315345967177  26.6205577897026  5.74579252022307  0  0  0  1  0
"226"  27.6306587998036  5.80215579711222  27.6306587998036  5.49605405398034  1  0  0  0  0
"227"  38.7417699109147  6.14745268086364  38.7417699109147  6.27726872335581  0  0  1  0  0
"228"  40.7619719311167  4.38377384862807  40.7619719311167  4.69707788664792  0  0  1  0  0
"229"  45.3074264765712  6.12539506196511  45.3074264765712  6.18298004642596  0  0  1  0  0
"230"  48.8427800119248  5.49361685843927  48.8427800119248  5.85027955839199  1  0  0  0  1
"231"  0.357931527076289  5.29206320254711  0.357931527076289  5.59017943621261  0  0  0  1  0
"232"  2.88318405232881  1.97687447402028  2.88318405232881  1.96993792225009  1  0  0  0  0
"233"  6.41853758768235  0.87865949111189  6.41853758768235  1.32054750170688  0  0  1  0  0
"234"  17.5296486987935  0.592268614113743  17.5296486987935  0.581256374266411  0  0  1  0  0
"235"  22.075103244248  5.26901374690444  22.075103244248  5.14831170349591  0  0  0  1  1
"236"  42.7821739513187  0.995691059368073  42.7821739513187  1.29480590552685  0  0  1  0  0
"237"  43.2872244563692  0.274651309262125  43.2872244563692  6.08651269998598  0  1  0  0  0
"238"  44.8023759715207  5.89996826235876  44.8023759715207  5.81621523440556  1  0  0  0  1
"239"  2.37813354727831  0.85607998729223  2.37813354727831  1.2224259935739  0  0  1  0  0
"240"  3.38823455737932  5.13272851159403  3.38823455737932  5.28980603477524  1  0  0  0  0
"241"  4.90338607253083  5.45894364537997  4.90338607253083  4.98655889407127  0  1  0  0  0
"242"  22.075103244248  5.26901374690444  22.075103244248  5.25166807536245  1  0  0  0  0
"243"  24.09530526445  0.957661324452108  24.09530526445  0.831956685326493  0  0  0  1  0
"244"  34.7013658705106  5.98941336844656  34.7013658705106  0.188632768033806  0  0  1  0  0
"245"  36.7215678907127  5.68421187999485  36.7215678907127  5.22067267985841  1  0  0  0  0
"246"  46.3175274866723  5.90746964127485  46.3175274866723  5.49234558138725  1  0  0  0  0
"247"  47.3276284967733  5.11755931708451  47.3276284967733  5.0724074875978  0  1  0  0  0
"248"  49.3478305169753  5.41142442383206  49.3478305169753  5.17417258655986  0  0  0  1  1
"249"  1.3680325371773  6.28278287778247  1.3680325371773  5.85722430025797  0  1  0  0  0
"250"  1.8730830422278  0.163966349372375  1.8730830422278  0.0435438259036417  1  0  0  0  0
"251"  5.91348708263185  1.79149088064052  5.91348708263185  1.91435098192497  1  0  0  0  0
"252"  6.41853758768235  0.87865949111189  6.41853758768235  0.863997111945778  0  0  0  1  0
"253"  20.054901224046  5.18180041166108  20.054901224046  4.82284759834494  0  0  1  0  0
"254"  26.115507284652  4.96736387857967  26.115507284652  4.47070277827592  0  0  0  1  0
"255"  31.6710628402076  5.84395284648216  31.6710628402076  5.96880528005003  0  1  0  0  0
"256"  38.2367194058642  5.36539328262618  38.2367194058642  5.00933163311741  0  1  0  0  0
"257"  41.7720729412177  6.13459080702228  41.7720729412177  0.350129492687742  1  0  0  0  0
"258"  43.7922749614197  0.680565318905799  43.7922749614197  0.988699382052808  0  0  0  1  0
"259"  47.3276284967733  5.11755931708451  47.3276284967733  5.14373562676322  0  0  0  1  1
"260"  9.44884061798538  0.495878918340055  9.44884061798538  0.680077786335347  0  0  0  1  0
"261"  18.034699203844  5.36090498166824  18.034699203844  5.48479380766595  1  0  0  0  0
"262"  19.5498507189955  1.77247268326542  19.5498507189955  1.32549878924115  1  0  0  0  0
"263"  20.054901224046  5.18180041166108  20.054901224046  5.53731561416846  1  0  0  0  0
"264"  21.065002234147  0.532092000527714  21.065002234147  0.237391869241779  1  0  0  0  0
"265"  24.6003557695005  0.875966076415632  24.6003557695005  1.23837805344038  0  0  0  1  0
"266"  25.105406274551  6.25882269931788  25.105406274551  0.111761101286087  0  0  0  1  0
"267"  33.6912648604096  5.13156735001982  33.6912648604096  5.44784432872117  1  0  0  0  0
"268"  34.1963153654601  0.0372454898455731  34.1963153654601  5.83130174499337  0  1  0  0  0
"269"  38.2367194058642  5.36539328262618  38.2367194058642  5.51695381641796  0  1  0  0  0
"270"  39.2468204159652  1.17340238334381  39.2468204159652  1.41600254772  0  0  0  1  0
"271"  40.7619719311167  4.38377384862807  40.7619719311167  4.66785650232751  0  0  0  1  0
"272"  41.7720729412177  6.13459080702228  41.7720729412177  5.70312255795648  1  0  0  0  0
"273"  43.7922749614197  0.680565318905799  43.7922749614197  0.486163801628216  0  0  0  1  0
"274"  44.2973254664702  5.90543044698975  44.2973254664702  0.116509814648794  0  0  1  0  0
"275"  48.3377295068743  2.74493081214414  48.3377295068743  2.94733982042917  0  0  0  1  1
"276"  2.88318405232881  1.97687447402028  2.88318405232881  2.2226606614921  0  0  0  1  0
"277"  7.42863859778336  5.74349793428676  7.42863859778336  5.35873502525622  1  0  0  0  0
"278"  10.9639921331369  5.37848938785589  10.9639921331369  5.28049982961363  0  1  0  0  0
"279"  14.4993456684904  5.45220257550964  14.4993456684904  5.4159561505031  0  0  0  1  0
"280"  19.044800213945  5.85382848976897  19.044800213945  5.46769018027717  1  0  0  0  0
"281"  22.075103244248  5.26901374690444  22.075103244248  5.45394861049228  1  0  0  0  0
"282"  23.085204254349  1.64457884999733  23.085204254349  1.52028563000071  0  0  1  0  0
"283"  25.6104567796015  5.46101197379612  25.6104567796015  5.43438064994261  0  0  1  0  0
"284"  40.7619719311167  4.38377384862807  40.7619719311167  4.25290469194707  1  0  0  0  0
"285"  44.8023759715207  5.89996826235876  44.8023759715207  6.27510453417637  0  0  1  0  0
"286"  47.8326790018238  0.769383408119694  47.8326790018238  0.274677086612001  0  1  0  0  1
"287"  3.38823455737932  5.13272851159403  3.38823455737932  4.97145330802144  0  1  0  0  0
"288"  4.90338607253083  5.45894364537997  4.90338607253083  5.08849681997998  0  1  0  0  0
"289"  5.40843657758134  6.22193565878971  5.40843657758134  6.01371565328865  0  1  0  0  0
"290"  9.44884061798538  0.495878918340055  9.44884061798538  0.49296940258853  0  0  1  0  0
"291"  12.9841941533389  5.66544624247412  12.9841941533389  5.93342022403898  0  0  0  1  0
"292"  16.0144971836419  0.945634914243308  16.0144971836419  1.04173083105841  0  0  1  0  0
"293"  18.034699203844  5.36090498166824  18.034699203844  5.19237721670153  0  0  1  0  0
"294"  26.6205577897026  6.05315345967177  26.6205577897026  5.75786479375313  1  0  0  0  0
"295"  38.7417699109147  6.14745268086364  38.7417699109147  5.91622301098352  0  0  0  1  0
"296"  40.2569214260662  5.99187401450466  40.2569214260662  0.00385342887736062  0  0  1  0  0
"297"  47.3276284967733  5.11755931708451  47.3276284967733  4.77382102590475  0  0  1  0  1
"298"  3.89328506242982  0.064790468382993  3.89328506242982  0.115577007596725  0  0  1  0  0
"299"  4.90338607253083  5.45894364537997  4.90338607253083  5.44794681007369  0  1  0  0  0
